text_id,text,is_spam
166,"По вашему мнению, какие будут основные тренды в криптовалютной сфере в ближайшие несколько лет?",0
130,ищу заинтересованных людей которые хотят приумножить свой заработк.Обучаю с 0. Без скам обменок. Пиши в ЛС,1
234,"Поддержка сообщества важна. Участвуйте в дискуссиях, форумах и мероприятиях, чтобы находить новые возможности и связи в этой сфере.",0
177,"Интересно, как криптовалюты влияют на глобальную экономику. Какие преимущества они могут предоставить и какие вызовы они представляют для существующих финансовых систем?",0
47,"Доброго времени суток!Предлагаю удалённую занятость. Подходит как доп, так и полная.Работаем в сфере цифровых финансовых рынков. Без инвестиций, помощь новичкам. Кого интересует развитие в этой сфере, пишите.",1
178,Какова ваша точка зрения на использование приватных монет в сети блокчейн? Есть ли у них будущее в контексте регулирования?,0
12,"Ищу партнеров в новый проект. Заработок от 20-30% в неделю. Обучаю и подсказываю весь период обучения. После обучения к вам будет прикреплен куратор. Всего 1-2 часа в день. Работа на своих биржах со своим капиталом Буду рад ответить на все вопросы ,пиши в лс",1
2,"​‼Нужно 10-20 воркеров понимающих в крипте. Трафик предоставляемРабота по отмени транзакции биткоин.(P.s)Мы выступаем в роли обменника, скидываем крипту мамонту, он ее видит - отправляет в ответ, после отменяем нашу транзакцию и забираем свою крипту + профит.‼По поводу сотрудничества пишите менеджеру",1
227,Криптовалюты создают новые возможности для специалистов в области кибербезопасности. Защита от кибератак и аудит смарт-контрактов становятся важными задачами.,0
19,"Всем приветЯ хотел услышать именно тебя!Если хочешь зарабатывать с домаЗанятость от 2-3 часов в день.Для отработки нужен только смартфон.Набираю всего 6 заинтересованных человек которые желают обучится делать маниПоднимаем каждый день более 200$Обучение совершенно БЕСПЛАТНОПоспеши, места ограничены",1
90,Ищем перспективных молодых и решительных в крипто-индустрию ) 100 $ в неделю и это только начало,1
67,"Всем привет. Кого интересует заработок на разница курса монет, пишите в лс",1
293,"ICO (Initial Coin Offering) - это как краудфандинг для криптопроектов. Вы покупаете токены, чтобы поддержать их развитие.								",0
11,"Пересмотрел гигабайты видео о крuпте и не знаешь как начать? Нет опыта, а хотелось? Хочешь получить пассuвный источник дохода? Пиши мне‼ Научу и покажу бесплатно за % от твоей прибblли",1
52,"Веду поиск людей для взаимовыгодного сотрудничества,заинтересованных в хорошей прибыли, предоставляю человеку обучение,даю убедится в перспективах данного направления, пишите в лс)",1
266,"Как вы считаете, какова роль стейблкоинов в криптосфере? Они могут сделать криптовалюты более стабильными для повседневных транзакций?									",0
270,Стоит ли вкладывать в NFT? Какие применения для них вы видите в будущем?									,0
9,Ищy людeй для взаимовыгодного сотрудничества в крuпте Новичков обучаю бесплатно. Сотруднuчаем пoд прoцент! Без пpeдоплaт и пeрeводoв на мои счёта. Рабoтаем по связкaм 6-8% заpaбoткa. Лeгaльно и oфициaльнo. Ждy заинтepeсованных в ЛС.,1
71,Добрый день! Нужны люди для работы с  kрuптовaлютнымu проектами. Бесплатный пробный период совместно с обучением.,1
73,"Есть арбитражная связка на BINANCE. Для связки используем аккаунт бинанса и USDT для круга. Профит с круга 2% БЕЗ ОБМЕННИКОВ И СТОРОННИХ БИРЖ‼Кому интересно, пишите в лс",1
80,"Здравствуйте! Провожу набор в команду для Арбитража криптовалют по готовым связкам к начальному депозиту за 20-30 минут, научу зарабатывать от 100 $ usdt в день.Беру 20% от вашего ежедневного заработка.Не принимаю ваши деньги на свои счета и не беру никаких предоплат (как это делают мошенники). Набираю даже людей без опыта. Если не разбираетесь,все обьясню и покажу как на пальцах. По всем вопросам писать в личные сообщения",1
238,Учебные курсы и онлайн-ресурсы о криптовалютах и блокчейне могут быть отличным началом для вашей карьеры в этой области.,0
58,"Всем привет! Давно ищешь хороший доход и не можешь найти ! Тебе повезло , если читаешь это . Со мной ты можешь заработать  столько , сколько тебе хочется ! Не важно если ты нечего не знаешь , всему обучу . Если ты ещё читаешь , то хватит , пора уже писать и узнать подробности . Жду в лс !!",1
18,Не упустите этот уникальный шанс выиграть 3000 USDT! Присоединяйтесь к нашему телеграмм каналу прямо сейчас и участвуйте в розыгрыше! Good luck!,1
7,Изменю вашу жизнь - Научу зарабатывать на криптовалюте - Мой интерес 20 % с вашей чистой прибыли. Заинтересованные + в лс,1
128,"Приветствую, Я ищу людей, которые заинтересованы в работе в сфере Арбитража. Возьму 5 человек в команду.Работаем с разницей курса по готовым связкам (3-6% прибыль).Научу зарабатывать от 100$ в день за 2-4 часа.Работаете со своими средствами на своих аккаунтах! Обучение с нуля бесплатно !Не принимаю ваши деньги на свои счета и не беру никаких предоплат, взносов (как это делают мошенники).Моя выгода: 20% от прибыли. Кому интересно, пишите в Личные сообщения.",1
228,"Для любителей маркетинга и PR сфера криптовалюты предлагает много интересных задач, такие как продвижение ICO и NFT проектов.",0
220,"Помните, что рынок криптовалют имеет свои циклы. Не паникуйте при коррекциях, это часть процесса.",0
105,"Новости криптовалют не оставят вас равнодушными! Зарабатывайте больше с нашим каналом, который предлагает новую  стратегию для успешной торговли. (Crypto Corner)",1
182,"Слышали о последних новостях по Bitcoin? Кажется, рынок снова взлетает!",0
83,"Здравствуйте. Набираю людей, которым интересно зарабатывать в долларах в сфере АРБИТРАЖА КРИПТОВАЛЮТЫ! Беру новичков и опытных ребят в своё комьюнити. Бесплатное ОБУЧЕНИЕ! Работая до 2-х часов в день, заработок в неделю от 500$! Никаких оплат пока вы не получите первую прибыль. За подробностями пишите в ЛС.",1
197,Планируете ли вы майнить криптовалюту в ближайшем будущем?,0
95,Ищу людей для заработка на меж биржевой торговле  криптовалюты.Готов научить людей без опыта. Профит 6-8%. Будем работать за %. По деталям пишите личку .,1
49,"Биpжeвoй apбитpaж, ищy пoмoщникoв, вceмy наyчy и пoдeлюcь опытом, зa % oт пpибыли",1
254,Заработал $300 на криптовалютных стейкингах. Это отличный способ увеличить пассивный доход.							,0
204,"Продавайте высоко, покупайте низко. Это основное правило торговли криптовалютой. Постоянно следите за рынком и трендами.",0
190,Какие альткойны вас заинтересовали в последнее время?,0
96,Ищу людей для совместного заработка в сфере криптовалют Готов обучить с 0. Никаких предоплат не требуется Результат в первый день сотрудничества. Пишите в ЛС,1
287,"Что такое блокчейн? Это как цифровая книга учета, в которой записи хранятся в блоках и не могут быть изменены без вашего ведома.								",0
203,"Одним из способов начать свой путь в криптовалюте - это инвестировать небольшие суммы, чтобы освоить рынок. Но помните, что всегда есть риски.",0
224,"Для новичков лучше начать с популярных криптовалют, таких как Bitcoin и Ethereum. С опытом можно исследовать альткойны.",0
136,"⁠⁠⁠⁠⁠Нужна paбoтa, кoтopoй ты мoжeшь зaнимaтьcя нe выхoдя из дoмa?Пиши в личныe cooбщeния!- Пpuбыльнaя cфepa- Дoхoд кaждый дeнь- Oбучeниe нa пpaктикe. Oт вac тpeбyeтcя aктивнocть, гaджeт c дocтyпoм в интepнeт и минимaльный дeпoзит для paбoты.",1
258,Что вы думаете о криптовалютных кредитных картах? Могут ли они быть полезными для расходов в криптовалюте?							,0
259,Сейчас многие говорят о важности образования в сфере криптовалюты. Сколько долларов вы готовы инвестировать в свое обучение?							,0
17,"Хай,имею предложение для Вас!Есть желания поднимать 200 $ каждый день?Провожу набор в мою личную команду по зароботку:Делаем каждый день свыше 200$От вас только желание и смартфон с меня обучение и доведение до результата.Никакого опыта не нужно, мы научим вас абсолютно бесплатно.Для отработки нужен только телефон.Пиши по контактам, что бы приобрести больше",1
222,Профессия криптовалютного трейдера требует постоянного обучения и анализа рынка. Не останавливайтесь на достигнутом.,0
70,"Доброго времени суток Есть предложение по увеличению вашего капитала, +4-8% за 1 круг Интересно? Напиши мне",1
261,"Сегодня в новостях прочел о новом проекте, который обещает революцию в области криптовалютных платежей. Как вы думаете, насколько это реалистично?									",0
209,Работа в сфере криптовалютной журналистики или блоггинга может быть интересной профессией. Поделитесь своими знаниями с сообществом.,0
200,Какие криптовалюты вы видите в будущем как основу для мировых финансовых систем?,0
229,Исследование и анализ рынка криптовалют также может стать основой для карьеры аналитика. Востребованный навык.,0
101,Набираю людей в команду по межбиржевой торговли + имеется обучение. От Вас требуется 2-3 часа Вашего времени - с меня информация и поддержка 24/7. Пиши в личные сообщения. Места ограничены! +18,1
161,"Я слышал о проекте, который предоставляет кредиты под залог криптовалюты. Каковы риски и преимущества таких услуг?",0
